"ZHB/ ""gold""",0.636
">WYR/ ""supply""",0.389
"XMWR/ ""he-ass""",0.356
"GML/ ""camel""",0.356
"BGD/ ""garment""",0.349
"CPXH/ ""maidservant""",0.347
"KLJ/ ""tool""",0.332
"BQR/ ""cattle""",0.311
">TWN/ ""she-ass""",0.294
">RWN/ ""ark""",0.287
"Y>N/ ""cattle""",0.287
"QDC/ ""holiness""",0.275
"CLXN/ ""table""",0.27
"XRB/ ""dagger""",0.262
"JM/ ""sea""",0.243
"FR/ ""chief""",0.241
"XLB=/ ""fat""",0.24
"<BD/ ""servant""",0.238
"MNXH/ ""present""",0.233
"ZBX/ ""sacrifice""",0.221
"NXCT/ ""bronze""",0.22
"<PR/ ""dust""",0.213
"KTNT/ ""tunic""",0.207
"CLL/ ""plunder""",0.206
">HL/ ""tent""",0.204
">BN/ ""stone""",0.203
"CMN/ ""oil""",0.199
"SWS/ ""horse""",0.199
"<LH/ ""burnt-offering""",0.192
"<Y/ ""tree""",0.188
"LXM/ ""bread""",0.187
"JJN/ ""wine""",0.186
"R<H/ ""evil""",0.184
"RKWC/ ""property""",0.183
"MJM/ ""water""",0.179
"KRWB/ ""cherub""",0.176
"PRJ/ ""fruit""",0.175
"XV>T/ ""sin""",0.174
">PD/ ""ephod""",0.172
"JLD/ ""boy""",0.171
"BT/ ""daughter""",0.168
"XKMH/ ""wisdom""",0.167
"<YM/ ""bone""",0.166
"R</ ""evil""",0.166
"BD/ ""linen, part, stave""",0.166
"YDQH/ ""justice""",0.165
"XN/ ""grace""",0.165
"KKR/ ""disk""",0.163
"<M/ ""people""",0.163
"VB<T/ ""sealing ring""",0.162
"VP/ ""<those unable to march>""",0.159
"MQNH/ ""purchase""",0.157
"RGL/ ""foot""",0.156
"XJH/ ""wild animal""",0.156
">CH/ ""woman""",0.155
"C>RJT/ ""rest""",0.154
"BN/ ""son""",0.153
"MVH/ ""staff""",0.149
"PSX/ ""Passover""",0.147
"<JR/ ""town""",0.147
"R>C/ ""head""",0.144
"ZR</ ""seed""",0.143
"MLK/ ""king""",0.134
"PR/ ""young bull""",0.133
"MKWNH/ ""place""",0.132
"SPR/ ""letter""",0.132
"XQ/ ""portion""",0.127
"DRK/ ""way""",0.126
"FMLH/ ""mantle""",0.125
"CLM/ ""final offer""",0.124
"ML>KH/ ""work""",0.124
"M<FH/ ""deed""",0.124
">WT/ ""sign""",0.123
"QRN/ ""horn""",0.122
"<BDH/ ""work""",0.122
"JD/ ""hand""",0.12
"DM/ ""blood""",0.12
">X/ ""brother""",0.12
"LWJ/ ""Levite""",0.119
"BFM/ ""balsam-tree""",0.119
">JC/ ""man""",0.118
">JL=/ ""ram, despot""",0.117
"CC=/ ""linen""",0.116
"TKLT/ ""purple wool""",0.116
">RGMN/ ""purple-wool""",0.116
"XYR/ ""court""",0.114
"PNH/ ""face""",0.114
"TWRH/ ""instruction""",0.112
">RY/ ""earth""",0.111
"MMLKH/ ""kingdom""",0.11
"MQWM/ ""place""",0.11
"RKB/ ""chariot""",0.11
"KJWR/ ""basin""",0.11
"TWL<T/ ""worm""",0.109
"FQ/ ""sack""",0.108
"MSKH/ ""molten image""",0.107
"BHMH/ ""cattle""",0.104
"SRJS/ ""official""",0.103
"PRC/ ""horseman""",0.099
"MCKN/ ""dwelling-place""",0.099
">DM/ ""human, mankind""",0.098
"GWJ/ ""people""",0.098
"XYJ/ ""half""",0.095
"ZQN/ ""old""",0.094
"MXNH/ ""camp""",0.093
"MSK/ ""covering""",0.093
"TRPJM/ ""teraphim""",0.093
"M>H/ ""hundred""",0.09
"MZBX/ ""altar""",0.089
">LP=/ ""thousand""",0.089
"DBR/ ""word""",0.087
"MYWH/ ""commandment""",0.083
">C/ ""fire""",0.083
">LHJM/ ""god(s)""",0.082
">JL===/ ""pillar""",0.08
"MCTH/ ""drinking""",0.08
"QWL/ ""sound""",0.079
"MCPV/ ""justice""",0.076
"NCQ/ ""equipment""",0.075
"<MWD/ ""pillar""",0.075
"GLH/ ""basin""",0.072
">CRH/ ""asherah""",0.072
"FLMH/ ""wrapper""",0.069
"BJT/ ""house""",0.069
"JWM/ ""day""",0.067
"PSL/ ""idol""",0.066
"QVRT/ ""smoke of sacrifice""",0.066
"NXLH/ ""heritage""",0.066
"KHN/ ""priest""",0.065
"XJL/ ""power""",0.064
"PRD/ ""mule""",0.064
"XMH/ ""heat""",0.064
"PRZJ/ ""Perizzite""",0.061
"BRD/ ""hail""",0.061
"JD<NJ/ ""soothsayer""",0.06
">WB/ ""spirit of dead""",0.06
">JLM/ ""porch""",0.06
"N<R/ ""boy""",0.059
"MYBH/ ""massebe""",0.056
">B/ ""father""",0.056
"CQWY/ ""idol""",0.056
"KNP/ ""wing""",0.055
"RWX/ ""wind""",0.055
"NPC/ ""soul""",0.055
"<DWT/ ""reminder""",0.054
"CBV/ ""rod""",0.054
"GLWLJM/ ""idols""",0.053
"<NN/ ""cloud""",0.051
"FDH/ ""open field""",0.051
"CMJM/ ""heavens""",0.05
"BRJT/ ""covenant""",0.05
"CM/ ""name""",0.048
"MLXMH/ ""war""",0.046
"BMH/ ""high place""",0.046
"JHWDJ/ ""Jewish""",0.045
"DLT/ ""door""",0.044
"<WR=/ ""skin""",0.044
"HR/ ""mountain""",0.043
"KBWD/ ""weight""",0.043
"KN<NJ/ ""Canaanite""",0.042
"<JN/ ""eye""",0.039
"BFR/ ""flesh""",0.039
"ML>K/ ""messenger""",0.033
"PR<H/ ""pharaoh""",0.031
"LB/ ""heart""",0.027
"NBJ>/ ""prophet""",0.0
"QHL/ ""assembly""",0.0
"NFJ>/ ""chief""",0.0
"LBB/ ""heart""",0.0
"XWMH/ ""wall""",0.0
"PH/ ""mouth""",0.0
"<DH/ ""gathering""",0.0
"PLCTJ/ ""Philistine""",0.0
"B<L/ ""lord, baal""",0.0
"KP/ ""palm""",0.0
"XLWM/ ""dream""",0.0
"GBWR/ ""vigorous""",0.0
"GBWL/ ""boundary""",0.0
"FVN/ ""adversary""",0.0
"FRJD/ ""survivor""",0.0
">M/ ""mother""",0.0
">MRJ/ ""Amorite""",0.0
">P/ ""nose""",0.0
"XLL/ ""pierced""",0.0
"CMC/ ""sun""",0.0
"TMRH/ ""palm-ornament""",0.0
"C<R/ ""gate""",0.0
"GWRL/ ""lot""",0.0
